loss,MSE,KLD,created_at,epoch,avg_val_loss
2.212789535522461,2.160189151763916,-10.273494720458984,2020-08-16 12:26:41.781433,,
,,,2020-08-16 12:26:42.025141,0.0,
2.3654062747955322,2.3225204944610596,-8.376138687133789,2020-08-16 12:26:42.105905,,
2.206531524658203,2.170170545578003,-7.101736068725586,2020-08-16 12:26:42.211983,,
2.2535948753356934,2.2209794521331787,-6.370192050933838,2020-08-16 12:26:42.277819,,
2.212801456451416,2.181642770767212,-6.085691928863525,2020-08-16 12:26:42.357016,,
2.295318126678467,2.264932155609131,-5.9347639083862305,2020-08-16 12:26:42.445642,,
2.1320981979370117,2.102369546890259,-5.8063788414001465,2020-08-16 12:26:42.529597,,
2.25821852684021,2.2280688285827637,-5.888625144958496,2020-08-16 12:26:42.617306,,
2.142500162124634,2.112241506576538,-5.909883499145508,2020-08-16 12:26:42.703063,,
2.156933069229126,2.1275105476379395,-5.746571063995361,2020-08-16 12:26:42.773149,,
2.0740718841552734,2.0450384616851807,-5.670583248138428,2020-08-16 12:26:42.850919,,
2.2011759281158447,2.1725854873657227,-5.58408260345459,2020-08-16 12:26:42.914034,,
2.1325771808624268,2.1046133041381836,-5.461679458618164,2020-08-16 12:26:42.970283,,
2.235536813735962,2.207491636276245,-5.477579116821289,2020-08-16 12:26:43.029782,,
2.0993478298187256,2.0724246501922607,-5.258449554443359,2020-08-16 12:26:43.131295,,
2.105330228805542,2.0785679817199707,-5.226980686187744,2020-08-16 12:26:43.209180,,
2.163820266723633,2.1371073722839355,-5.217347621917725,2020-08-16 12:26:43.296850,,
2.0412096977233887,2.014744520187378,-5.168957710266113,2020-08-16 12:26:43.365455,,
2.0142693519592285,1.9881470203399658,-5.102007865905762,2020-08-16 12:26:43.441238,,
2.052581548690796,2.0264625549316406,-5.101361274719238,2020-08-16 12:26:43.525133,,
2.087498426437378,2.061779022216797,-5.0233001708984375,2020-08-16 12:26:43.591883,,
2.0860188007354736,2.060777187347412,-4.9300127029418945,2020-08-16 12:26:43.667173,,
2.0426344871520996,2.0168557167053223,-5.034927845001221,2020-08-16 12:26:43.728635,,
2.018099546432495,1.9921815395355225,-5.062103748321533,2020-08-16 12:26:43.805427,,
2.0920684337615967,2.066804885864258,-4.934288024902344,2020-08-16 12:26:43.884251,,
2.0324108600616455,2.0073535442352295,-4.8939995765686035,2020-08-16 12:26:43.965115,,
2.066244125366211,2.041123867034912,-4.906320095062256,2020-08-16 12:26:44.048189,,
2.056407928466797,2.030618667602539,-5.036948204040527,2020-08-16 12:26:44.126290,,
2.012615203857422,1.9876059293746948,-4.884607791900635,2020-08-16 12:26:44.197341,,
1.9930509328842163,1.9680160284042358,-4.889620780944824,2020-08-16 12:26:44.272768,,
2.038118839263916,2.0128233432769775,-4.940516948699951,2020-08-16 12:26:44.347470,,
1.903473973274231,1.8769930601119995,-5.172044277191162,2020-08-16 12:26:44.399622,,
1.9714337587356567,1.94510817527771,-5.141714096069336,2020-08-16 12:26:44.494733,,
2.109616279602051,2.082063674926758,-5.381348609924316,2020-08-16 12:26:44.575844,,
1.9476209878921509,1.9202226400375366,-5.351231575012207,2020-08-16 12:26:44.648356,,
2.104241371154785,2.074519157409668,-5.805098533630371,2020-08-16 12:26:44.715064,,
1.927006483078003,1.8980481624603271,-5.655932426452637,2020-08-16 12:26:44.795480,,
2.019514799118042,1.9895470142364502,-5.853061199188232,2020-08-16 12:26:44.885626,,
2.016169309616089,1.9837273359298706,-6.336333751678467,2020-08-16 12:26:44.988719,,
2.0444324016571045,2.010218858718872,-6.682319641113281,2020-08-16 12:26:45.087592,,
1.976973056793213,1.94015634059906,-7.190757751464844,2020-08-16 12:26:45.146074,,
2.0061841011047363,1.9683351516723633,-7.392383575439453,2020-08-16 12:26:45.209465,,
2.0199735164642334,1.9803855419158936,-7.732015609741211,2020-08-16 12:26:45.274228,,
1.9795145988464355,1.9370397329330444,-8.29586410522461,2020-08-16 12:26:45.328232,,
1.8905391693115234,1.847224235534668,-8.459949493408203,2020-08-16 12:26:45.389818,,
1.925384521484375,1.8798930644989014,-8.885043144226074,2020-08-16 12:26:45.471079,,
1.9089665412902832,1.8613518476486206,-9.299736022949219,2020-08-16 12:26:45.552497,,
1.817831039428711,1.769775152206421,-9.385916709899902,2020-08-16 12:26:45.627582,,
1.9097518920898438,1.8597252368927002,-9.770819664001465,2020-08-16 12:26:45.701944,,
1.8957374095916748,1.844728708267212,-9.962636947631836,2020-08-16 12:26:45.784286,,
1.919256329536438,1.866468906402588,-10.310035705566406,2020-08-16 12:26:45.851877,,
,,,2020-08-16 12:26:45.889066,0.0,
1.8473784923553467,1.7957162857055664,-10.090282440185547,2020-08-16 12:26:45.923405,,
1.8919225931167603,1.8414037227630615,-9.866960525512695,2020-08-16 12:26:45.987414,,
1.7843838930130005,1.7323167324066162,-10.169361114501953,2020-08-16 12:26:46.052129,,
1.863586187362671,1.8112820386886597,-10.21566390991211,2020-08-16 12:26:46.130522,,
1.8301762342453003,1.7779945135116577,-10.191736221313477,2020-08-16 12:26:46.197244,,
1.782273530960083,1.7298736572265625,-10.234338760375977,2020-08-16 12:26:46.260539,,
1.737493634223938,1.683699369430542,-10.506696701049805,2020-08-16 12:26:46.323589,,
1.7977280616760254,1.743729829788208,-10.546520233154297,2020-08-16 12:26:46.388254,,
1.7682342529296875,1.7110764980316162,-11.163613319396973,2020-08-16 12:26:46.455980,,
1.7805309295654297,1.7230762243270874,-11.22163200378418,2020-08-16 12:26:46.515407,,
1.7735615968704224,1.7141270637512207,-11.60830020904541,2020-08-16 12:26:46.600277,,
1.709162712097168,1.6470916271209717,-12.12326717376709,2020-08-16 12:26:46.688035,,
1.7287545204162598,1.667093276977539,-12.043207168579102,2020-08-16 12:26:46.771453,,
